ID,Lat Deg,Lat Min,Lat Sec,Lat Dir,Lon Deg,Lon Min,Lon Sec,Lon Dir
Pt1,33,43,11.609,S,150,47,41.124,E
Pt2,34,12,8.456,S,150,47,52.741,E
Pt3,33,43,13.841,S,151,29,11.006,E
Pt4,34,8,37.043,S,151,30,19.419,E
Pt5,33,52,18.369,S,151,12,8.809,E
Pt6,33,52,18.536,S,151,12,9.791,E
Pt7,33,52,19.355,S,151,12,9.591,E
Pt8,33,52,19.345,S,151,12,9.534,E
Pt9,33,52,20.164,S,151,12,9.334,E
Pt10,33,52,19.998,S,151,12,8.352,E
Pt11,33,52,19.902,S,151,12,8.375,E
Pt12,33,52,19.745,S,151,12,7.451,E
Pt13,33,52,18.974,S,151,12,7.639,E
Pt14,33,52,18.994,S,151,12,7.753,E
